*
*The list below is formatted in a specific order. If you are adding or removing ELEMENTS please obey the following template so the program can interpret your entries without error.
*[ELEMENT]|[PROJECT NAME]|[PROJECT/ELEMENT NO.]|[BUILDING NO.]
*Each line represents an element.
*Notes lines begin with "*" All lines without an asterisk(*) will be read.
*
MINE CART|DONKEY KONG COUNTRY|SAE-SC05-01|0044
THWOMP|SUPER MARIO LAND|SAE-Z2-01|0039
LARGE VERTICAL SHIFTING GATE|YOSHI'S ADVENTURE|SAE-Y1-01|0039
LARGE HORIZONTAL SHIFTING GATE|YOSHI'S ADVENTURE|SAE-Y1-02|0039
SPIKED THWOMP|YOSHI'S ADVENTURE|SAE-Y1-03|0039
SPIKED THWOMP ORV|YOSHI'S ADVENTURE|SAE-Y1-03|0039
SHORT BLOCK COMBO|YOSHI'S ADVENTURE|SAE-Y1-04|0039
LONG BLOCK COMBO|YOSHI'S ADVENTURE|SAE-Y1-06|0039
MOVING CLOUD PLATFORM|YOSHI'S ADVENTURE|SAE-Y1-05|0039
TREEHOUSE DOOR|YOSHI'S ADVENTURE|SAE-Y4-01|0039
DRINKING CONKDOR|YOSHI'S ADVENTURE|SAE-Y6-01|0039
MOVING PLATFORM|YOSHI'S ADVENTURE|SAE-Y1-05|0039
SIDE THWOMP|MARIO KART|SAE-SC03-04|0038
BOUNCE PAD W/PROPS|MARIO KART|SAE-SC08-04|0038
SMALL PIRANHA PLANT|MARIO KART|SAE-SC04-01|0038
AIRSHIP PROPELLER|MARIO KART|SAE-SC09-02/03|0038
CHANDELIER|MARIO KART|SAE-SC07-02|0038
CHAIN CHOMP|MARIO KART|SAE-SC03-02|0038
HOVERING PROPELLER|MARIO KART|SAE-SC08-02|0038
LAKITU MARQUEE|MARIO KART|SAE-SC02-02|0038
CENTER ICON|PROJECT KAPPA|SAE NUMBER|BLDG CODE
SWING ARMS|PROJECT KAPPA|SAE NUMBER|BLDG CODE
OSAKA FAT|OSAKA FAT (PHASE 2 FRAMES)|N/A|TENNIS COURTS
DIRECTOR'S LIFT|BOURNE STUNTACULAR|LFT-01|P-126
SLOAT LID FOR DIRECTOR'S LIFT|BOURNE STUNTACULAR|LFT-02|P-126
STAGE RIGHT SLOAT LID|BOURNE STUNTACULAR|LFT-04|P-126
STAGE LEFT BOILER LIFT|BOURNE STUNTACULAR|LFT-05|P-126
STAGE LEFT SLOAT LID|BOURNE STUNTACULAR|LFT-06|P-126
CENTERSTAGE SLOAT LID|BOURNE STUNTACULAR|LFT-08|P-126
STAGE LEFT SINGLE MAN LIFT|BOURNE STUNTACULAR|LFT-13|P-126
STAGE RIGHT SINGLE MAN LIFT|BOURNE STUNTACULAR|LFT-14|P-126
TREADMILL|BOURNE STUNTACULAR|SAE-01|P-126
DIRECTOR CENTER CONSOLE|BOURNE STUNTACULAR|SAE-02|P-126
MINARET ROOFTOP #1|BOURNE STUNTACULAR|SAE-03|P-126
MOVING ROOFTOP #2|BOURNE STUNTACULAR|SAE-04|P-126
MOVING ROOFTOP #3|BOURNE STUNTACULAR|SAE-05|P-126
TELESCOPING BUILDING W/ SLIDE PIPE|BOURNE STUNTACULAR|SAE-06|P-126
MANSION STAGE LEFT|BOURNE STUNTACULAR|SAE-07|P-126
EXPLODING FOUNTAIN|BOURNE STUNTACULAR|SAE-08|P-126
MOTORCYCLE|BOURNE STUNTACULAR|SAE-09|P-126
PRACTICAL STREET POLE|BOURNE STUNTACULAR|SAE-11|P-126
ELEVATOR ON WINCH W/ DOOR|BOURNE STUNTACULAR|SAE-13|P-126
STAGE LEFT LADDER W/ I-BEAM|BOURNE STUNTACULAR|SAE-14A|P-126
STAGE RIGHT LOWERING LADDER/PLATFORM|BOURNE STUNTACULAR|SAE-14B|P-126
OVHB TROLLEY W/ SKYHOOK|BOURNE STUNTACULAR|SAE-15A|P-126
OVHD TROLLEY W/ HELICOPTER ROPE|BOURNE STUNTACULAR|SAE-15B|P-126
EXPLODING BOILER|BOURNE STUNTACULAR|SAE-16|P-126
DUBAI BUILDING W/ POOLS|BOURNE STUNTACULAR|SAE-17|P-126
MOVING CARS CENTERSTAGE LIFT|BOURNE STUNTACULAR|SAE-20|P-126
STAGE RIGHT FALL PAD|BOURNE STUNTACULAR|SAE-21|P-126
JET SET INTERIOR|BOURNE STUNTACULAR|SAE-24|P-126
STAGE DECK TRACKS & BASEMENT DECKING|BOURNE STUNTACULAR|SAE-25|P-126
CONTROLS LIFT SLOAT|BOURNE STUNTACULAR| |P-126
CONTROLS WAGON|BOURNE STUNTACULAR| |P-126
CONTROLS OVERHEAD|BOURNE STUNTACULAR| |P-126
