Type,EDI_Std_Nomenclature,AISC_Manual_Label,EDI_Std_Nomenclature,AISC_Manual_Label
W,W44X335,W44X335,W1100X499,W1100X499
W,W44X290,W44X290,W1100X433,W1100X433
W,W44X262,W44X262,W1100X390,W1100X390
W,W44X230,W44X230,W1100X343,W1100X343
W,W40X655,W40X655,W1000X976,W1000X976
W,W40X593,W40X593,W1000X883,W1000X883
W,W40X503,W40X503,W1000X748,W1000X748
W,W40X431,W40X431,W1000X642,W1000X642
W,W40X397,W40X397,W1000X591,W1000X591
W,W40X372,W40X372,W1000X554,W1000X554
W,W40X362,W40X362,W1000X539,W1000X539
W,W40X324,W40X324,W1000X483,W1000X483
W,W40X297,W40X297,W1000X443,W1000X443
W,W40X277,W40X277,W1000X412,W1000X412
W,W40X249,W40X249,W1000X371,W1000X371
W,W40X215,W40X215,W1000X321,W1000X321
W,W40X199,W40X199,W1000X296,W1000X296
W,W40X392,W40X392,W1000X584,W1000X584
W,W40X331,W40X331,W1000X494,W1000X494
W,W40X327,W40X327,W1000X486,W1000X486
W,W40X294,W40X294,W1000X438,W1000X438
W,W40X278,W40X278,W1000X415,W1000X415
W,W40X264,W40X264,W1000X393,W1000X393
W,W40X235,W40X235,W1000X350,W1000X350
W,W40X211,W40X211,W1000X314,W1000X314
W,W40X183,W40X183,W1000X272,W1000X272
W,W40X167,W40X167,W1000X249,W1000X249
W,W40X149,W40X149,W1000X222,W1000X222
W,W36X925,W36X925,W920X1377,W920X1377
W,W36X853,W36X853,W920X1269,W920X1269
W,W36X802,W36X802,W920X1194,W920X1194
W,W36X723,W36X723,W920X1077,W920X1077
W,W36X652,W36X652,W920X970,W920X970
W,W36X529,W36X529,W920X787,W920X787
W,W36X487,W36X487,W920X725,W920X725
W,W36X441,W36X441,W920X656,W920X656
W,W36X395,W36X395,W920X588,W920X588
W,W36X361,W36X361,W920X537,W920X537
W,W36X330,W36X330,W920X491,W920X491
W,W36X302,W36X302,W920X449,W920X449
W,W36X282,W36X282,W920X420,W920X420
W,W36X262,W36X262,W920X390,W920X390
W,W36X247,W36X247,W920X368,W920X368
W,W36X231,W36X231,W920X344,W920X344
W,W36X256,W36X256,W920X381,W920X381
W,W36X232,W36X232,W920X345,W920X345
W,W36X210,W36X210,W920X313,W920X313
W,W36X194,W36X194,W920X289,W920X289
W,W36X182,W36X182,W920X271,W920X271
W,W36X170,W36X170,W920X253,W920X253
W,W36X160,W36X160,W920X238,W920X238
W,W36X150,W36X150,W920X223,W920X223
W,W36X135,W36X135,W920X201,W920X201
W,W33X387,W33X387,W840X576,W840X576
W,W33X354,W33X354,W840X527,W840X527
W,W33X318,W33X318,W840X473,W840X473
W,W33X291,W33X291,W840X433,W840X433
W,W33X263,W33X263,W840X392,W840X392
W,W33X241,W33X241,W840X359,W840X359
W,W33X221,W33X221,W840X329,W840X329
W,W33X201,W33X201,W840X299,W840X299
W,W33X169,W33X169,W840X251,W840X251
W,W33X152,W33X152,W840X226,W840X226
W,W33X141,W33X141,W840X210,W840X210
W,W33X130,W33X130,W840X193,W840X193
W,W33X118,W33X118,W840X176,W840X176
W,W30X391,W30X391,W760X582,W760X582
W,W30X357,W30X357,W760X531,W760X531
W,W30X326,W30X326,W760X484,W760X484
W,W30X292,W30X292,W760X434,W760X434
W,W30X261,W30X261,W760X389,W760X389
W,W30X235,W30X235,W760X350,W760X350
W,W30X211,W30X211,W760X314,W760X314
W,W30X191,W30X191,W760X284,W760X284
W,W30X173,W30X173,W760X257,W760X257
W,W30X148,W30X148,W760X220,W760X220
W,W30X132,W30X132,W760X196,W760X196
W,W30X124,W30X124,W760X185,W760X185
W,W30X116,W30X116,W760X173,W760X173
W,W30X108,W30X108,W760X161,W760X161
W,W30X99,W30X99,W760X147,W760X147
W,W30X90,W30X90,W760X134,W760X134
W,W27X539,W27X539,W690X802,W690X802
W,W27X368,W27X368,W690X548,W690X548
W,W27X336,W27X336,W690X500,W690X500
W,W27X307,W27X307,W690X457,W690X457
W,W27X281,W27X281,W690X419,W690X419
W,W27X258,W27X258,W690X384,W690X384
W,W27X235,W27X235,W690X350,W690X350
W,W27X217,W27X217,W690X323,W690X323
W,W27X194,W27X194,W690X289,W690X289
W,W27X178,W27X178,W690X265,W690X265
W,W27X161,W27X161,W690X240,W690X240
W,W27X146,W27X146,W690X217,W690X217
W,W27X129,W27X129,W690X192,W690X192
W,W27X114,W27X114,W690X170,W690X170
W,W27X102,W27X102,W690X152,W690X152
W,W27X94,W27X94,W690X140,W690X140
W,W27X84,W27X84,W690X125,W690X125
W,W24X370,W24X370,W610X551,W610X551
W,W24X335,W24X335,W610X498,W610X498
W,W24X306,W24X306,W610X455,W610X455
W,W24X279,W24X279,W610X415,W610X415
W,W24X250,W24X250,W610X372,W610X372
W,W24X229,W24X229,W610X341,W610X341
W,W24X207,W24X207,W610X307,W610X307
W,W24X192,W24X192,W610X285,W610X285
W,W24X176,W24X176,W610X262,W610X262
W,W24X162,W24X162,W610X241,W610X241
W,W24X146,W24X146,W610X217,W610X217
W,W24X131,W24X131,W610X195,W610X195
W,W24X117,W24X117,W610X174,W610X174
W,W24X104,W24X104,W610X155,W610X155
W,W24X103,W24X103,W610X153,W610X153
W,W24X94,W24X94,W610X140,W610X140
W,W24X84,W24X84,W610X125,W610X125
W,W24X76,W24X76,W610X113,W610X113
W,W24X68,W24X68,W610X101,W610X101
W,W24X62,W24X62,W610X92,W610X92
W,W24X55,W24X55,W610X82,W610X82
W,W21X275,W21X275,W530X409,W530X409
W,W21X248,W21X248,W530X369,W530X369
W,W21X223,W21X223,W530X332,W530X332
W,W21X201,W21X201,W530X300,W530X300
W,W21X182,W21X182,W530X272,W530X272
W,W21X166,W21X166,W530X248,W530X248
W,W21X147,W21X147,W530X219,W530X219
W,W21X132,W21X132,W530X196,W530X196
W,W21X122,W21X122,W530X182,W530X182
W,W21X111,W21X111,W530X165,W530X165
W,W21X101,W21X101,W530X150,W530X150
W,W21X93,W21X93,W530X138,W530X138
W,W21X83,W21X83,W530X123,W530X123
W,W21X73,W21X73,W530X109,W530X109
W,W21X68,W21X68,W530X101,W530X101
W,W21X62,W21X62,W530X92,W530X92
W,W21X55,W21X55,W530X82,W530X82
W,W21X48,W21X48,W530X72,W530X72
W,W21X57,W21X57,W530X85,W530X85
W,W21X50,W21X50,W530X74,W530X74
W,W21X44,W21X44,W530X66,W530X66
W,W18X311,W18X311,W460X464,W460X464
W,W18X283,W18X283,W460X421,W460X421
W,W18X258,W18X258,W460X384,W460X384
